step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
416,1.53657,0.64165,,
417,1.50474,0.67857,,
418,1.59497,0.67904,,
419,1.534,0.658,,
420,1.40568,0.67481,,
421,1.5203,0.6593,,
422,1.3949,0.67418,,
423,1.53908,0.66242,,
424,1.51442,0.67509,,
425,1.43774,0.68403,,
426,1.3603,0.70353,,
427,1.84993,0.62333,,
428,1.55507,0.6811,,
429,1.33934,0.69151,,
430,1.26168,0.72211,,
431,1.23224,0.7029,,
432,1.38619,0.69767,,
433,1.72259,0.62239,,
434,1.55782,0.65945,,
435,1.30216,0.68677,,
436,1.59683,0.67814,,
437,1.31329,0.70942,,
438,1.40346,0.67019,,
439,1.48453,0.64533,,
440,1.43114,0.68261,,
441,1.41879,0.68991,,
442,1.24665,0.68542,,
443,1.75842,0.66263,,
444,1.2764,0.69959,,
445,1.56832,0.65826,,
446,1.71839,0.62847,,
447,1.38349,0.68464,,
448,1.38479,0.68972,,
449,1.58715,0.66277,,
450,1.46972,0.68261,,
451,1.40995,0.68136,,
452,1.62753,0.63961,,
453,1.54392,0.68836,,
454,1.28828,0.6996,,
455,1.63794,0.62008,,
456,1.74691,0.64953,,
457,1.51343,0.67523,,
458,1.63051,0.64421,,
459,1.57085,0.6472,,
460,1.49873,0.64545,,
461,1.84781,0.62338,,
462,1.66857,0.61653,,
463,1.58336,0.64312,,
464,1.69596,0.65234,,
465,1.51878,0.666,,
466,1.40868,0.67432,,
467,1.66861,0.62524,,
468,1.56723,0.6581,,
469,1.49148,0.66116,,
470,1.38576,0.68984,,
471,1.76925,0.62963,,
472,1.55092,0.6622,,
473,1.67519,0.67057,,
474,1.31851,0.70865,,
475,1.43289,0.69683,,
476,1.83741,0.63432,,
477,1.80499,0.62292,,
478,1.74829,0.63019,,
479,1.43651,0.68306,,
480,1.65146,0.6595,,
481,1.56047,0.6555,,
482,1.45907,0.66592,,
483,1.5247,0.66842,,
484,1.28273,0.71149,,
485,1.56713,0.65778,,
486,1.30039,0.71272,,
487,1.57621,0.67004,,
488,1.53719,0.68443,,
489,1.3681,0.71012,,
490,1.3629,0.70633,,
491,1.56512,0.65523,,
492,1.43602,0.69102,,
493,1.60229,0.65378,,
494,1.35677,0.70165,,
495,1.23933,0.71566,,
496,1.34161,0.70108,,
497,1.43552,0.65818,,
498,1.40125,0.66883,,
499,1.42863,0.67708,,
500,1.58613,0.68539,,
501,1.38154,0.67936,1.50861,0.50122
502,1.562,0.67031,,
503,1.60888,0.64024,,
504,1.39254,0.63366,,
505,1.66863,0.64694,,
506,1.27746,0.70354,,
507,1.59082,0.64022,,
508,1.24465,0.66453,,
509,1.56703,0.69668,,
510,1.58499,0.6507,,
511,1.48326,0.67381,,
512,1.82837,0.60638,,
513,1.443,0.65199,,
514,1.27614,0.69336,,
515,1.34574,0.69129,,
516,1.31471,0.68409,,
517,1.57987,0.65352,,
518,1.53693,0.63902,,
519,1.36891,0.69603,,
520,1.58084,0.66314,,
521,1.42745,0.7034,,
522,1.27569,0.73517,,
523,1.4747,0.68411,,
524,1.48375,0.63916,,
525,1.54305,0.65669,,
526,1.64822,0.69214,,
527,1.35069,0.72486,,
528,1.58262,0.66988,,
529,1.48097,0.6494,,
530,1.4564,0.6572,,
531,1.46497,0.69466,,
532,1.72336,0.6441,,
533,1.45641,0.6445,,
534,1.49618,0.66075,,
535,1.37428,0.67975,,
536,1.39078,0.66598,,
537,1.47655,0.70426,,
538,1.5951,0.69632,,
539,1.7029,0.62077,,
540,1.47062,0.71223,,
541,1.5228,0.68762,,
542,1.37833,0.70449,,
543,1.49394,0.67473,,
544,1.58628,0.6772,,
545,1.2044,0.72194,,
546,1.36952,0.69745,,
547,1.56837,0.69328,,
548,1.78169,0.60455,,
549,1.29529,0.67358,,
550,1.25729,0.69573,,
551,1.48783,0.66928,,
552,1.46482,0.69043,,
553,1.50961,0.66477,,
554,1.49742,0.67188,,
555,1.55514,0.67154,,
556,1.67875,0.65784,,
557,1.41845,0.68192,,
558,1.4015,0.68776,,
559,1.48323,0.69141,,
560,1.47132,0.64115,,
561,1.56678,0.65941,,
